City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
229,Basco,PH,85.39,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
233,Matamoros,MX,84.31,dust,25.5333,-103.25,Quinta Belem
234,Andros,GR,79.74,clear sky,37.8333,24.9333,Micra Anglia Hotel - Andros
236,Cabo San Lucas,MX,88.11,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
237,Dhidhdhoo,MV,81.5,scattered clouds,6.8833,73.1,Dhidhoo beach
238,Isangel,VU,77.47,moderate rain,-19.55,169.2667,Tanna Lodge
243,Oyama,JP,89.58,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
246,Tukrah,LY,77.94,clear sky,32.5341,20.5791,Lagrota restaurant
250,Shingu,JP,84.45,scattered clouds,33.7333,135.9833,Shingu UI Hotel
251,Vinh,VN,86.2,clear sky,18.6667,105.6667,Vuong Hoan 2
253,Leninskoye,KZ,81.32,clear sky,41.7589,69.3864,Қалдыбайдың үйі 🏘️
258,Ixtapa,MX,82.22,thunderstorm,20.7,-105.2,hotel la terminal
261,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
263,Pochutla,MX,80.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
266,Cilegon,ID,80.51,overcast clouds,-6.0174,106.0538,Forbis Hotel
270,Saint George,US,81.19,light rain,37.1041,-113.5841,Best Western Plus Abbey Inn
271,Zhuanghe,CN,75.54,light rain,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
273,Sonamura,IN,82.4,overcast clouds,23.4719,91.2664,Sorojini Guest House
274,Fatehpur,IN,85.95,overcast clouds,25.9333,80.8,Hotel Bombay Lodge
276,Mangrol,IN,81.14,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
277,Myrtle Beach,US,83.34,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
288,Half Moon Bay,US,80.55,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
290,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
294,Atasu,KZ,75.49,scattered clouds,48.6814,71.6433,Dostyk
295,Mecca,SA,87.13,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
301,Kavaratti,IN,78.19,overcast clouds,10.5669,72.642,Green leaf
303,Manokwari,ID,83.97,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
304,Caucaia,BR,79.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
305,Quang Ngai,VN,89.47,clear sky,15.1167,108.8,Central Hotel
309,Vilyuysk,RU,83.64,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
