City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Halifax,CA,2022-07-26 00:13:14,44.6453,-63.5724,67.89,94,84,20.71
122,Kodiak,US,2022-07-26 00:15:48,57.79,-152.4072,62.11,59,100,3.44
123,Da Nang,VN,2022-07-26 00:15:49,16.0678,108.2208,84.18,70,0,3.44
124,Lebu,CL,2022-07-26 00:15:50,-37.6167,-73.65,53.58,85,80,25.28
125,Narsaq,GL,2022-07-26 00:15:50,60.9167,-46.05,52.02,91,100,2.3
126,Padang,ID,2022-07-26 00:15:51,-0.9492,100.3543,73.45,91,100,2.73
127,Kavieng,PG,2022-07-26 00:15:51,-2.5744,150.7967,82.9,78,40,16.71
128,Jining,CN,2022-07-26 00:15:52,35.405,116.5814,77.32,88,92,7.43
129,Atuona,PF,2022-07-26 00:15:09,-9.8,-139.0333,77.68,66,18,10.47
130,Uruzgan,AF,2022-07-26 00:15:53,32.8333,66.0,77.43,45,68,0.07
131,Havoysund,NO,2022-07-26 00:15:53,70.9963,24.6622,52.03,91,100,12.15
132,Bendigo,AU,2022-07-26 00:15:54,-36.7667,144.2833,45.64,85,48,1.99
133,Bilibino,RU,2022-07-26 00:13:38,68.0546,166.4372,53.47,44,44,8.86
134,Atasu,KZ,2022-07-26 00:15:55,48.6814,71.6433,66.65,34,23,7.47
135,Inta,RU,2022-07-26 00:15:55,66.0317,60.1659,47.17,87,100,18.88
136,Dichiseni,RO,2022-07-26 00:15:56,44.2333,27.5333,66.97,63,2,3.06
137,Saint-Philippe,RE,2022-07-26 00:13:34,-21.3585,55.7679,65.21,81,32,9.78
138,Cabildo,AR,2022-07-26 00:15:57,-38.4842,-61.8954,52.23,91,99,9.69
139,Singaraja,ID,2022-07-26 00:15:58,-8.112,115.0882,77.41,71,33,3.71
140,Sao Filipe,CV,2022-07-26 00:15:58,14.8961,-24.4956,78.33,89,100,5.55
141,Piltene,LV,2022-07-26 00:16:59,57.2243,21.6744,64.35,94,0,8.05
142,Namibe,AO,2022-07-26 00:16:59,-15.1961,12.1522,61.29,86,5,8.3
143,Port Elizabeth,ZA,2022-07-26 00:17:00,-33.918,25.5701,55.69,82,0,13.8
144,Ahipara,NZ,2022-07-26 00:17:00,-35.1667,173.1667,56.61,88,87,22.88
145,Marathon,US,2022-07-26 00:17:01,44.9,-89.7668,72.93,54,0,9.22
146,Caborca,MX,2022-07-26 00:17:01,30.5838,-111.101,84.4,57,76,17.36
147,Lata,PT,2022-07-26 00:17:02,40.1629,-8.3327,59.47,97,0,2.57
148,Oxapampa,PE,2022-07-26 00:17:02,-10.5775,-75.4017,58.91,97,72,2.26
149,Arkhara,RU,2022-07-26 00:17:03,49.4212,130.0842,75.61,72,0,2.37
150,Yerbogachen,RU,2022-07-26 00:17:03,61.2767,108.0108,70.23,80,54,10.25
151,Tairua,NZ,2022-07-26 00:15:06,-37.0167,175.85,61.11,82,17,17.38
152,The Valley,AI,2022-07-26 00:17:04,18.217,-63.0578,82.81,78,55,23.11
153,Launceston,AU,2022-07-26 00:17:05,-41.45,147.1667,53.8,93,75,9.22
154,Vila Velha,BR,2022-07-26 00:17:05,-20.3297,-40.2925,69.94,87,40,0.0
155,Kaniama,CD,2022-07-26 00:17:06,-7.5667,24.1833,72.14,34,21,6.76
156,Berdigestyakh,RU,2022-07-26 00:17:06,62.0989,126.6992,76.78,58,63,7.74
157,Isangel,VU,2022-07-26 00:16:14,-19.55,169.2667,77.11,94,100,10.36
158,Longyearbyen,SJ,2022-07-26 00:17:07,78.2186,15.6401,48.04,81,75,12.66
159,Saint George,US,2022-07-26 00:12:14,37.1041,-113.5841,72.19,83,100,5.75
160,Riverton,US,2022-07-26 00:16:19,40.5219,-111.9391,96.44,24,0,11.5
161,Tanout,NE,2022-07-26 00:17:09,14.9709,8.8879,92.48,19,12,4.85
162,Manavalakurichi,IN,2022-07-26 00:15:06,8.1333,77.3,77.25,84,100,13.94
163,Clyde River,CA,2022-07-26 00:17:09,70.4692,-68.5914,41.23,93,100,8.05
164,Jamestown,US,2022-07-26 00:12:24,42.097,-79.2353,68.52,63,0,6.91
165,Kuusamo,FI,2022-07-26 00:17:10,65.9667,29.1833,60.84,77,0,9.22
166,Margate,GB,2022-07-26 00:14:04,51.3813,1.3862,64.9,69,72,5.99
167,Jaru,BR,2022-07-26 00:17:12,-10.4389,-62.4664,78.17,34,11,4.54
168,Biak,ID,2022-07-26 00:17:12,-0.9131,122.8766,77.83,80,76,6.64
169,Hamilton,US,2022-07-26 00:15:24,39.1834,-84.5333,78.42,75,0,4.61
170,Jever,DE,2022-07-26 00:17:13,53.5833,7.9,66.02,94,43,14.09
171,Dingle,PH,2022-07-26 00:12:21,10.9995,122.6711,80.91,85,79,3.87
172,Utete,TZ,2022-07-26 00:17:14,-7.986,38.758,67.03,94,39,2.84
173,Phan Thiet,VN,2022-07-26 00:12:54,10.9333,108.1,79.77,83,54,2.89
174,Kalmunai,LK,2022-07-26 00:17:15,7.4167,81.8167,79.72,79,100,3.53
175,Dayong,CN,2022-07-26 00:17:15,25.0209,118.2898,84.0,83,80,1.43
176,Lompoc,US,2022-07-26 00:16:50,34.6391,-120.4579,84.02,73,0,14.97
177,San Jose,US,2022-07-26 00:13:44,37.3394,-121.895,87.69,48,20,13.8
178,Klaksvik,FO,2022-07-26 00:17:17,62.2266,-6.589,47.32,84,53,11.59
179,Grand Gaube,MU,2022-07-26 00:17:17,-20.0064,57.6608,66.6,79,5,4.0
180,Sarakhs,IR,2022-07-26 00:17:18,36.5449,61.1577,84.51,35,0,32.95
181,Pevek,RU,2022-07-26 00:12:18,69.7008,170.3133,37.9,76,94,12.62
