City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Lethem,GY,3.3803,-59.7968,73.47,94,100,1.72,overcast clouds
156,Qui Nhon,VN,13.7667,109.2333,85.62,66,12,1.52,few clouds
157,Acari,PE,-15.4311,-74.6158,61.41,86,43,3.2,scattered clouds
158,Lahan,NP,26.7296,86.4951,85.59,67,98,2.8,overcast clouds
159,Sioux Lookout,CA,50.1001,-91.917,59.07,94,75,5.75,broken clouds
160,North Platte,US,41.1239,-100.7654,82.29,54,0,6.91,clear sky
161,Kodiak,US,57.79,-152.4072,63.91,48,0,12.66,clear sky
162,Avarua,CK,-21.2078,-159.775,77.05,69,75,20.71,broken clouds
163,Sampit,ID,-2.5333,112.95,82.17,79,73,0.29,broken clouds
164,Port-Gentil,GA,-0.7193,8.7815,75.07,80,99,13.49,overcast clouds
165,Buraydah,SA,26.326,43.975,90.05,13,100,7.11,overcast clouds
166,Tessalit,ML,20.1986,1.0114,94.03,20,64,10.22,broken clouds
167,Andros Town,BS,24.7,-77.7667,84.16,78,2,15.05,clear sky
168,Garowe,SO,8.4054,48.4845,72.05,62,78,25.39,broken clouds
169,Buala,SB,-8.145,159.5921,85.5,66,17,8.12,few clouds
170,Airai,TL,-8.9266,125.4092,67.86,49,14,5.14,few clouds
171,Kefamenanu,ID,-9.4467,124.4781,78.82,53,18,13.31,few clouds
172,Bluff,NZ,-46.6,168.3333,47.8,87,100,12.66,overcast clouds
173,Pisco,PE,-13.7,-76.2167,62.65,82,20,2.3,few clouds
174,Esperance,AU,-33.8667,121.9,60.03,53,0,17.87,clear sky
175,Prince Rupert,CA,54.3161,-130.3201,67.69,80,0,14.97,clear sky
176,Dehloran,IR,32.6941,47.2679,89.89,15,5,8.03,clear sky
177,Hithadhoo,MV,-0.6,73.0833,82.35,73,100,12.21,overcast clouds
178,Agirish,RU,61.9247,63.0231,62.33,55,0,3.4,clear sky
179,Marawi,PH,7.9986,124.2928,80.42,70,70,1.63,broken clouds
180,Americus,US,32.0724,-84.2327,82.53,69,0,0.0,clear sky
181,Chokurdakh,RU,70.6333,147.9167,60.15,35,97,13.87,overcast clouds
182,Tangua,BR,-22.7303,-42.7142,62.78,88,0,3.96,clear sky
183,Nuuk,GL,64.1835,-51.7216,41.61,93,75,6.91,broken clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,94,75,8.86,light intensity drizzle
185,Alice Springs,AU,-23.7,133.8833,56.75,28,3,14.97,clear sky
186,Aitape,PG,-3.1374,142.3475,84.78,71,52,5.88,broken clouds
187,Makakilo City,US,21.3469,-158.0858,86.32,49,0,14.97,clear sky
188,Mumbwa,ZM,-14.9783,27.0619,53.87,75,28,4.12,scattered clouds
189,Deputatskiy,RU,69.3,139.9,60.46,42,81,5.75,broken clouds
190,Murindo,CO,6.9848,-76.7544,73.8,97,100,2.82,overcast clouds
191,Luderitz,NA,-26.6481,15.1594,55.06,74,0,2.3,clear sky
192,Umea,SE,63.8284,20.2597,50.92,76,100,11.5,overcast clouds
193,Lexington,US,37.9887,-84.4777,79.92,87,20,0.0,few clouds
194,Registro,BR,-24.4875,-47.8436,59.49,98,38,1.39,scattered clouds
195,Kiruna,SE,67.8557,20.2251,47.32,71,100,6.91,overcast clouds
196,Dingle,PH,10.9995,122.6711,86.04,73,100,9.1,overcast clouds
197,Bandarbeyla,SO,9.4942,50.8122,76.78,69,99,25.03,overcast clouds
198,Antalaha,MG,-14.9003,50.2788,66.97,91,100,5.1,light rain
199,Raposa,BR,-6.5167,-44.1833,71.94,48,48,5.28,scattered clouds
200,San Policarpo,PH,12.1791,125.5072,83.41,82,100,6.96,overcast clouds
201,Shakawe,BW,-18.3667,21.85,52.63,47,0,5.64,clear sky
202,Itarema,BR,-2.9248,-39.9167,78.91,78,100,14.63,overcast clouds
203,Warrnambool,AU,-38.3833,142.4833,50.85,78,100,8.66,overcast clouds
204,Turbat,PK,26.0023,63.044,80.58,81,100,1.61,overcast clouds
205,Belyy Yar,RU,53.6039,91.3903,62.85,75,0,0.0,clear sky
206,Rosarito,MX,32.3333,-117.0333,80.24,73,19,10.11,few clouds
207,Wahiawa,US,21.5028,-158.0236,84.52,53,0,12.66,clear sky
208,Barrow,US,71.2906,-156.7887,33.82,100,100,17.27,mist
209,Nadadores,MX,27.05,-101.6,89.24,35,90,14.79,overcast clouds
210,Lubao,PH,14.9167,120.55,87.51,73,94,4.14,overcast clouds
211,Kunyang,CN,27.6658,120.5658,87.19,56,100,3.49,overcast clouds
212,Linjiang,CN,41.8069,126.9078,84.63,58,100,1.72,overcast clouds
213,Seoul,KR,37.5683,126.9778,87.19,58,20,12.66,few clouds
214,Codrington,AU,-38.2667,141.9667,51.04,77,100,8.55,overcast clouds
215,Alghero,IT,40.5589,8.3181,66.29,94,0,1.14,clear sky
216,San Francisco,US,37.7749,-122.4194,78.98,82,20,23.02,smoke
217,Lewistown,US,40.5992,-77.5714,77.81,100,20,0.0,few clouds
218,Longyan,CN,25.1072,117.0225,92.01,49,2,2.01,clear sky
219,Kununurra,AU,-15.7667,128.7333,75.18,20,5,10.36,clear sky
220,Rodrigues Alves,BR,-7.738,-72.6509,77.99,69,91,0.85,overcast clouds
221,Carnarvon,AU,-24.8667,113.6333,72.21,48,100,1.74,overcast clouds
222,Natal,BR,-5.795,-35.2094,75.42,88,0,5.75,clear sky
223,Kiama,AU,-34.6833,150.8667,65.37,55,11,7.0,few clouds
224,Qasigiannguit,GL,68.8193,-51.1922,44.85,93,100,1.1,overcast clouds
225,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,94,0,6.91,clear sky
226,Gander,CA,48.9682,-54.5906,60.93,100,100,5.75,overcast clouds
227,The Valley,AI,18.217,-63.0578,82.26,73,0,19.77,clear sky
228,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,19,7.27,light rain
229,Basco,PH,20.4487,121.9702,85.39,77,95,12.77,overcast clouds
230,Ust-Omchug,RU,61.15,149.6333,62.11,35,60,3.49,broken clouds
231,Verkh-Suetka,RU,53.3,80.05,72.95,54,76,12.26,broken clouds
232,Flinders,AU,-34.5833,150.8552,66.06,56,10,5.99,clear sky
233,Matamoros,MX,25.5333,-103.25,84.31,37,75,24.16,dust
234,Andros,GR,37.8333,24.9333,79.74,55,0,11.99,clear sky
235,Soloneshnoye,RU,51.6544,84.3197,69.19,60,51,2.89,broken clouds
236,Cabo San Lucas,MX,22.8909,-109.9124,88.11,51,20,14.97,few clouds
237,Dhidhdhoo,MV,6.8833,73.1,81.5,76,34,15.99,scattered clouds
238,Isangel,VU,-19.55,169.2667,77.47,82,100,12.08,moderate rain
239,Marica,BR,-22.9194,-42.8186,72.48,82,0,8.23,clear sky
240,Zemio,CF,5.0314,25.1361,68.34,98,100,3.78,light rain
241,Fairbanks,US,64.8378,-147.7164,61.09,61,75,12.66,broken clouds
242,Grand Gaube,MU,-20.0064,57.6608,67.37,79,3,1.99,clear sky
243,Oyama,JP,36.3,139.8,89.58,65,100,1.03,overcast clouds
244,Shelui,TZ,-4.3667,34.2,64.71,66,78,7.61,broken clouds
245,Dikson,RU,73.5069,80.5464,40.64,94,96,12.66,overcast clouds
246,Tukrah,LY,32.5341,20.5791,77.94,82,0,4.68,clear sky
247,Cap Malheureux,MU,-19.9842,57.6142,67.46,79,2,3.0,clear sky
248,Vohibinany,MG,-17.35,49.0333,62.87,86,89,2.46,overcast clouds
249,Pangnirtung,CA,66.1451,-65.7125,54.72,67,100,1.83,overcast clouds
250,Shingu,JP,33.7333,135.9833,84.45,74,45,6.35,scattered clouds
251,Vinh,VN,18.6667,105.6667,86.2,71,7,2.13,clear sky
252,Madawaska,US,47.3561,-68.3288,69.1,78,0,4.61,clear sky
253,Leninskoye,KZ,41.7589,69.3864,81.32,26,2,8.32,clear sky
254,Igarka,RU,67.4667,86.5833,57.74,80,91,8.66,overcast clouds
255,Srednekolymsk,RU,67.45,153.6833,55.63,44,99,10.69,overcast clouds
256,Ust-Kuyga,RU,70.0167,135.6,78.91,44,98,5.37,overcast clouds
257,Milin,CZ,49.6319,14.046,55.24,71,78,3.15,broken clouds
258,Ixtapa,MX,20.7,-105.2,82.22,94,100,0.0,thunderstorm
259,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,40,4.61,light rain
260,Pevek,RU,69.7008,170.3133,36.18,87,96,4.56,overcast clouds
261,Kloulklubed,PW,7.0419,134.2556,82.9,71,100,7.27,overcast clouds
262,Menongue,AO,-14.6585,17.691,49.6,43,36,5.21,scattered clouds
263,Pochutla,MX,15.7432,-96.4661,80.82,92,55,2.08,broken clouds
264,Bouza,NE,14.4229,6.0428,73.53,73,100,17.52,moderate rain
265,Berlevag,NO,70.8578,29.0864,49.95,93,100,23.02,light intensity drizzle
266,Cilegon,ID,-6.0174,106.0538,80.51,73,97,10.25,overcast clouds
267,Man,CI,7.4125,-7.5538,70.16,97,98,3.2,overcast clouds
268,Cervo,ES,43.6702,-7.4101,61.97,84,9,4.36,clear sky
269,Ayna,PE,-12.65,-73.9167,59.27,83,33,2.21,scattered clouds
270,Saint George,US,37.1041,-113.5841,81.19,62,75,11.5,light rain
271,Zhuanghe,CN,39.7008,122.9911,75.54,90,100,16.11,light rain
272,Fenoarivo,MG,-18.933,47.4354,48.27,100,40,2.3,scattered clouds
273,Sonamura,IN,23.4719,91.2664,82.4,77,99,3.31,overcast clouds
274,Fatehpur,IN,25.9333,80.8,85.95,66,100,6.29,overcast clouds
275,Maceio,BR,-9.6658,-35.7353,74.64,83,40,3.44,scattered clouds
276,Mangrol,IN,21.1167,70.1167,81.14,79,100,6.35,overcast clouds
277,Myrtle Beach,US,33.6891,-78.8867,83.34,83,0,14.97,clear sky
278,Dzaoudzi,YT,-12.7887,45.2699,73.29,88,0,8.05,clear sky
279,Avera,US,33.194,-82.5271,82.45,57,52,8.86,broken clouds
280,Hofn,IS,64.2539,-15.2082,53.58,99,100,24.16,light rain
281,Kodinsk,RU,58.6881,99.1844,58.59,91,100,1.32,overcast clouds
282,Santo Augusto,BR,-27.8508,-53.7772,63.34,82,99,6.51,overcast clouds
283,Port Elizabeth,ZA,-33.918,25.5701,57.09,93,40,2.3,scattered clouds
284,Mehamn,NO,71.0357,27.8492,49.91,100,100,21.85,light rain
285,Constitucion,CL,-35.3333,-72.4167,48.61,78,7,4.14,clear sky
286,Concordia,AR,-31.393,-58.0209,70.79,86,45,7.0,scattered clouds
287,Tuusula,FI,60.4037,25.0264,55.9,93,20,6.91,few clouds
288,Half Moon Bay,US,37.4636,-122.4286,80.55,79,100,23.02,overcast clouds
289,Kpandu,GH,6.9954,0.2931,73.26,91,97,5.5,light rain
290,Porto Novo,BJ,6.4965,2.6036,78.62,86,100,9.89,overcast clouds
291,Lillehammer,NO,61.1146,10.4674,48.87,85,87,1.74,overcast clouds
292,Ust-Koksa,RU,50.2696,85.6108,63.36,63,2,1.81,clear sky
293,Lubango,AO,-14.9172,13.4925,56.46,40,30,2.59,scattered clouds
294,Atasu,KZ,48.6814,71.6433,75.49,41,47,11.18,scattered clouds
295,Mecca,SA,21.4267,39.8261,87.13,61,94,7.65,overcast clouds
296,Tazovskiy,RU,67.4667,78.7,48.92,81,100,10.16,overcast clouds
297,Santa Cruz,BO,-17.8,-63.1667,74.66,78,9,5.75,clear sky
298,Te Anau,NZ,-45.4167,167.7167,41.7,98,100,2.08,overcast clouds
299,Dzerzhinsk,RU,56.2389,43.4631,62.42,100,0,0.0,clear sky
300,Nikolskoye,RU,59.7035,30.7861,57.79,94,0,4.41,clear sky
301,Kavaratti,IN,10.5669,72.642,78.19,88,100,17.4,overcast clouds
302,Kensington,AU,-33.9167,151.2167,65.77,53,0,12.66,clear sky
303,Manokwari,ID,-0.8667,134.0833,83.97,67,63,7.54,broken clouds
304,Caucaia,BR,-3.7361,-38.6531,79.03,76,0,8.05,clear sky
305,Quang Ngai,VN,15.1167,108.8,89.47,57,10,0.36,clear sky
306,Fortuna,US,40.5982,-124.1573,65.93,78,0,14.97,clear sky
307,Cap-Aux-Meules,CA,47.3821,-61.8597,62.65,82,20,4.61,few clouds
308,Rocha,UY,-34.4833,-54.3333,64.08,93,100,8.3,moderate rain
309,Vilyuysk,RU,63.7553,121.6247,83.64,42,67,7.7,broken clouds
310,Port Lincoln,AU,-34.7333,135.8667,58.3,67,3,8.77,clear sky
311,Broome,US,42.2506,-75.833,75.88,78,74,1.01,broken clouds
312,Farafenni,GM,13.5667,-15.6,77.13,89,35,7.72,scattered clouds
313,Glarus,CH,47.0406,9.068,65.91,89,18,6.31,few clouds
314,Komsomolskiy,UZ,40.4272,71.7189,79.52,44,3,6.91,clear sky
315,Baft,IR,29.234,56.6057,67.66,74,93,3.69,light rain
316,High Level,CA,58.5169,-117.136,84.31,39,20,6.91,few clouds
317,Himeji,JP,34.8167,134.7,88.61,68,34,5.17,scattered clouds
318,Cockburn Town,TC,21.4612,-71.1419,81.23,77,0,20.74,clear sky
319,Haljala,EE,59.4336,26.2614,52.63,92,100,6.31,overcast clouds
320,Kampene,CD,-3.6,26.6667,68.27,83,26,2.26,scattered clouds
321,Oranjestad,AW,12.524,-70.027,80.55,83,20,14.97,few clouds
322,Keti Bandar,PK,24.1447,67.4497,82.31,83,96,10.89,overcast clouds
323,Lerwick,GB,60.1545,-1.1494,53.6,78,38,5.97,scattered clouds
324,Kandrian,PG,-6.2167,149.55,85.8,68,35,12.59,scattered clouds
325,Rimbey,CA,52.6334,-114.2353,71.28,82,1,5.53,clear sky
326,Brigantine,US,39.4101,-74.3646,76.05,89,0,6.91,clear sky
327,Savelugu,GH,9.6244,-0.8253,74.5,88,91,8.72,light rain
328,Ankazoabo,MG,-22.2833,44.5167,56.88,85,0,7.9,clear sky
329,Muisne,EC,0.6,-80.0333,73.98,88,100,7.56,overcast clouds
330,Saint-Pierre,RE,-21.3393,55.4781,67.91,70,100,8.05,overcast clouds
331,Ilulissat,GL,69.2167,-51.1,44.62,93,75,4.61,broken clouds
332,San Ramon,US,37.7799,-121.978,84.33,54,0,13.8,clear sky
333,Quincy,US,42.2529,-71.0023,75.25,73,75,5.75,broken clouds
334,Hudson Bay,CA,52.85,-102.3842,61.75,64,61,4.81,broken clouds
335,Aklera,IN,24.4167,76.5667,77.88,89,100,8.66,overcast clouds
336,Bay City,US,43.5945,-83.8889,77.32,63,40,9.22,scattered clouds
337,Thaba-Tseka,LS,-29.522,28.6084,40.84,84,100,4.09,overcast clouds
338,Svetlyy,RU,54.675,20.1347,57.96,81,85,14.5,overcast clouds
339,Taxisco,GT,14.0708,-90.4631,75.49,91,100,1.5,overcast clouds
340,Bethel,US,41.3712,-73.414,76.17,73,0,0.0,clear sky
341,Swan Hill,AU,-35.3378,143.5544,52.92,75,99,7.25,overcast clouds
342,Glace Bay,CA,46.1969,-59.957,66.85,91,40,0.0,scattered clouds
343,Lucapa,AO,-8.4192,20.7447,63.59,35,91,4.21,overcast clouds
344,Bhindar,IN,24.5,74.1833,77.25,90,100,8.39,overcast clouds
345,Muros,ES,42.7762,-9.0603,60.84,84,87,2.71,overcast clouds
346,Sambava,MG,-14.2667,50.1667,67.14,83,80,7.31,light rain
347,Melo,UY,-32.3667,-54.1833,64.02,95,100,7.09,overcast clouds
348,Vilhena,BR,-12.7406,-60.1458,68.95,47,6,3.98,clear sky
